record_id,patta_number,survey_number,owner_name,extent_acres,village,taluk,district,land_type,last_updated,status
25,PT-40305,81/1,T. Suresh,1.65,South Village,Sriperumbudur,Kanchipuram,Nanjai,2024-03-10,ACTIVE
26,PT-50401,210/1,U. Nandhini,0.70,North Village,Ponneri,Tiruvallur,Nanjai,2023-12-20,ACTIVE
27,PT-50402,211/3B,V. Ganesan,2.40,North Village,Ponneri,Tiruvallur,Punjai,2024-01-12,ACTIVE
28,PT-50403,212/2A,W. Usha,1.85,North Village,Ponneri,Tiruvallur,Nanjai,2023-11-05,ACTIVE
29,PT-50404,213/4,X. Mohan,3.15,North Village,Ponneri,Tiruvallur,Punjai,2024-02-25,ACTIVE
30,PT-50405,214/1C,Y. Devi,1.35,North Village,Ponneri,Tiruvallur,Nanjai,2023-09-18,ACTIVE
31,PT-60501,15/2,Z. Manikandan,2.10,Demo Village,Ambattur,Chennai,Punjai,2024-01-05,ACTIVE
32,PT-60502,16/1A,A. Chitra,0.95,Demo Village,Ambattur,Chennai,Nanjai,2023-10-22,ACTIVE
33,PT-60503,17/3B,B. Ashok,1.60,East Village,Ambattur,Chennai,Punjai,2024-02-18,ACTIVE
34,PT-60504,18/4,C. Malathi,2.75,East Village,Ambattur,Chennai,Nanjai,2023-12-30,ACTIVE
35,PT-60505,19/1C,D. Senthil,1.05,West Village,Sriperumbudur,Kanchipuram,Punjai,2024-01-25,ACTIVE
36,PT-70601,220/2,E. Shanthi,3.50,West Village,Sriperumbudur,Kanchipuram,Nanjai,2023-09-10,ACTIVE
37,PT-70602,221/1B,F. Kumaravel,1.40,South Village,Sriperumbudur,Kanchipuram,Punjai,2024-02-08,ACTIVE
38,PT-70603,222/3A,G. Anuradha,0.80,South Village,Sriperumbudur,Kanchipuram,Nanjai,2023-11-28,ACTIVE
39,PT-70604,223/4,H. Dinakar,2.30,North Village,Ponneri,Tiruvallur,Punjai,2024-01-14,ACTIVE
40,PT-70605,224/1C,I. Yamuna,1.90,North Village,Ponneri,Tiruvallur,Nanjai,2023-10-05,ACTIVE
41,PT-80701,330/1A,J. Prem,1.15,Demo Village,Ambattur,Chennai,Nanjai,2024-02-22,ACTIVE
42,PT-80702,331/2B,K. Indira,2.60,East Village,Ambattur,Chennai,Punjai,2023-12-15,ACTIVE
43,PT-80703,332/3,L. Harish,0.65,West Village,Sriperumbudur,Kanchipuram,Nanjai,2024-01-02,ACTIVE
44,PT-80704,333/4A,M. Soundarya,3.00,South Village,Sriperumbudur,Kanchipuram,Punjai,2023-09-30,ACTIVE
45,PT-80705,334/1C,N. Vijayakumar,1.55,North Village,Ponneri,Tiruvallur,Nanjai,2024-02-12,ACTIVE
46,PT-90801,440/2A,O. Bhavani,2.20,Demo Village,Ambattur,Chennai,Punjai,2023-11-18,ACTIVE
47,PT-90802,441/1B,P. Gowtham,0.90,East Village,Ambattur,Chennai,Nanjai,2024-01-20,ACTIVE
48,PT-90803,442/3C,Q. Nithya,1.70,West Village,Sriperumbudur,Kanchipuram,Punjai,2023-10-28,ACTIVE
49,PT-90804,443/4,R. Dinesh,2.95,South Village,Sriperumbudur,Kanchipuram,Nanjai,2024-02-05,ACTIVE
50,PT-90805,444/1A,S. Sowmya,1.30,North Village,Ponneri,Tiruvallur,Punjai,2023-12-08,ACTIVE
